URL,Brand,Name,Price,Rating,Reviews,Specifications
https://www.flipkart.com/selvia-casual-printed-women-multicolor-top/p/itm5858928cde9c2?pid=TOPG6FVBSNZSJ9H6&lid=LSTTOPG6FVBSNZSJ9H6LC68BQ&marketplace=FLIPKART&q=pinterest+trendy+crop+tops&store=clo&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=en_EVwsjlZDL_VpVV7bv7k0TK9b9e5W6q5H0ksxpBd1QIrBjo8lM4hTbY7HGemFHiiYjO_NxUFHYO89WyzIzMZ3eQ%3D%3D&ppt=hp&ppn=homepage&ssid=1n1zda3yzk0000001692470837087&qH=6045590b3632ba18,Selvia ,Casual Bell Sleeves Printed Women Multicolor Top,"₹279₹1,33079% off","4.16,933 ratings and 535 reviews","6,933 ratings and 535 reviews","{'Neck': 'V-Neck', 'Sleeve Style': 'Bell Sleeves', 'Sleeve Length': 'Half Sleeve', 'Fit': 'Regular', 'Fabric': 'Crepe', 'Type': 'Crop Top', 'Belt Included': 'No', 'Pattern': 'Printed', 'Color': 'Multicolor', 'Pack of': '1', 'Fabric Care': 'Dry Clean Only', 'Length': 'Crop', 'Additional Details': 'Top Sleeve Length : 13Inch, Top Length : 18Inch', 'Style Code': '215TK113', 'Net Quantity': '1'}"
,,,,,,
https://www.flipkart.com/sheetal-associates-casual-printed-women-multicolor-top/p/itm91d794caae115?pid=TOPGZS3XUQKUZYKG&lid=LSTTOPGZS3XUQKUZYKG33V8BL&marketplace=FLIPKART&q=pinterest+trendy+crop+tops&store=clo&srno=s_1_3&otracker=search&otracker1=search&fm=Search&iid=15f38bd8-b786-4846-af5e-5c85829af4dd.TOPGZS3XUQKUZYKG.SEARCH&ppt=sp&ppn=sp&ssid=1n1zda3yzk0000001692470837087&qH=6045590b3632ba18,Sheetal Associates ,Casual Flared Sleeves Printed Women Multicolor Top,"₹265₹1,99986% off","41,810 ratings and 119 reviews","1,810 ratings and 119 reviews","{'Neck': 'V-Neck', 'Sleeve Style': 'Flared Sleeves', 'Sleeve Length': '3/4 Sleeve', 'Fit': 'Regular', 'Fabric': 'Crepe', 'Type': 'Crop Top', 'Belt Included': 'No', 'Pattern': 'Printed', 'Color': 'Multicolor', 'Pack of': '1', 'Fabric Care': 'Hand Wash Only', 'Length': 'Crop', 'Style Code': '4444', 'Net Quantity': '1'}"
https://www.flipkart.com/tokyo-talkies-casual-printed-women-beige-top/p/itmee88b66b1a1d1?pid=TOPGQFU3SFYNAVEY&lid=LSTTOPGQFU3SFYNAVEYP0CQDV&marketplace=FLIPKART&q=pinterest+trendy+crop+tops&store=clo&srno=s_1_4&otracker=search&otracker1=search&fm=Search&iid=15f38bd8-b786-4846-af5e-5c85829af4dd.TOPGQFU3SFYNAVEY.SEARCH&ppt=sp&ppn=sp&ssid=1n1zda3yzk0000001692470837087&qH=6045590b3632ba18,Tokyo Talkies ,Casual Regular Sleeves Printed Women Beige Top,₹384₹69945% off,4.431 ratings and 4 reviews,31 ratings and 4 reviews,"{'Neck': 'Round Neck', 'Sleeve Style': 'Regular Sleeves', 'Fit': 'Slim', 'Fabric': 'Polyester', 'Type': 'Crop Top', 'Pattern': 'Printed', 'Color': 'Beige', 'Pack of': '1', 'Length': 'Crop', 'Style Code': 'TTCT000065', 'Net Quantity': '1'}"
https://www.flipkart.com/tokyo-talkies-casual-printed-women-green-top/p/itm57f842e73ae69?pid=TOPGMMAZGCZMZFYN&lid=LSTTOPGMMAZGCZMZFYN4VO8OF&marketplace=FLIPKART&q=pinterest+trendy+crop+tops&store=clo&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=15f38bd8-b786-4846-af5e-5c85829af4dd.TOPGMMAZGCZMZFYN.SEARCH&ppt=hp&ppn=homepage&ssid=1n1zda3yzk0000001692470837087&qH=6045590b3632ba18,Tokyo Talkies ,Casual Puff Sleeves Printed Women Green Top,₹262₹74965% off,3.7249 ratings and 11 reviews,249 ratings and 11 reviews,"{'Neck': 'Square Neck', 'Sleeve Style': 'Puff Sleeves', 'Fit': 'Regular', 'Fabric': 'Polyester', 'Type': 'Crop Top', 'Pattern': 'Printed', 'Color': 'Green', 'Pack of': '1', 'Style Code': 'TTTP007720', 'Net Quantity': '1'}"
https://www.flipkart.com/sollobell-casual-printed-women-white-top/p/itma18fa9a45a0bd?pid=TOPGQCRXWVGVFG2B&lid=LSTTOPGQCRXWVGVFG2BW9I8B9&marketplace=FLIPKART&q=pinterest+trendy+crop+tops&store=clo&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=15f38bd8-b786-4846-af5e-5c85829af4dd.TOPGQCRXWVGVFG2B.SEARCH&ppt=hp&ppn=homepage&ssid=1n1zda3yzk0000001692470837087&qH=6045590b3632ba18,Sollobell ,Casual Regular Sleeves Printed Women White Top,"₹331₹1,19972% off",4.290 ratings and 7 reviews,90 ratings and 7 reviews,"{'Neck': 'Round Neck', 'Sleeve Style': 'Regular Sleeves', 'Sleeve Length': 'Half Sleeve', 'Fit': 'Slim', 'Fabric': 'Pure Cotton', 'Type': 'Crop Top', 'Belt Included': 'No', 'Pattern': 'Printed', 'Color': 'White', 'Pack of': '1', 'Fabric Care': 'Machine washable, Recommended to wash with similar colors,Do not bleach,Iron at low temperature', 'Length': 'Crop', 'Model Name': ""The model (height 5'3) is wearing a size S"", 'Style Code': 'SB-SO-WHT-016-SNFLWR', 'Net Quantity': '1'}"
https://www.flipkart.com/adokedo-casual-printed-women-black-top/p/itmaa0dfc037bdc7?pid=TOPGZCHA2WUGQNXX&lid=LSTTOPGZCHA2WUGQNXX7CKGQH&marketplace=FLIPKART&q=pinterest+trendy+crop+tops&store=clo&srno=s_1_7&otracker=search&otracker1=search&fm=Search&iid=15f38bd8-b786-4846-af5e-5c85829af4dd.TOPGZCHA2WUGQNXX.SEARCH&ppt=sp&ppn=sp&ssid=1n1zda3yzk0000001692470837087&qH=6045590b3632ba18,Adokedo ,Casual Regular Sleeves Printed Women Black Top,₹289₹99971% off,3.324 ratings and 1 reviews,24 ratings and 1 reviews,"{'Neck': 'Square Neck', 'Sleeve Style': 'Regular Sleeves', 'Sleeve Length': 'Full Sleeve', 'Fit': 'Slim', 'Fabric': 'Lycra Blend', 'Type': 'Crop Top', 'Belt Included': 'Yes', 'Pattern': 'Printed', 'Color': 'Black', 'Pack of': '1', 'Fabric Care': 'Regular Wash', 'Length': 'Crop', 'Style Code': '00672', 'Net Quantity': '1'}"
,,,,,,
https://www.flipkart.com/dry-state-casual-printed-women-black-yellow-top/p/itm7f5cb60b6fbde?pid=TOPGMUBYDNGHZYYQ&lid=LSTTOPGMUBYDNGHZYYQ6QQGQK&marketplace=FLIPKART&q=pinterest+trendy+crop+tops&store=clo&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=15f38bd8-b786-4846-af5e-5c85829af4dd.TOPGMUBYDNGHZYYQ.SEARCH&ppt=hp&ppn=homepage&ssid=1n1zda3yzk0000001692470837087&qH=6045590b3632ba18,THE DRY STATE ,"Casual Puff Sleeves Printed Women Black, Yellow Top","₹373₹1,49975% off",2.84 ratings and 0 reviews,4 ratings and 0 reviews,"{'Neck': 'High Neck', 'Sleeve Style': 'Puff Sleeves', 'Sleeve Length': 'Half Sleeve', 'Fit': 'Regular', 'Fabric': 'Silk Blend', 'Type': 'Crop Top', 'Belt Included': 'No', 'Pattern': 'Printed', 'Color': 'Black, Yellow', 'Pack of': '1', 'Fabric Care': 'Machine wash', 'Length': 'Crop', 'Style Code': '7366', 'Net Quantity': '1'}"
https://www.flipkart.com/tokyo-talkies-casual-printed-women-multicolor-top/p/itm3caf1b4fd3816?pid=TOPGH2SUGXSY7YSC&lid=LSTTOPGH2SUGXSY7YSCGUH24I&marketplace=FLIPKART&q=pinterest+trendy+crop+tops&store=clo&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=15f38bd8-b786-4846-af5e-5c85829af4dd.TOPGH2SUGXSY7YSC.SEARCH&ppt=hp&ppn=homepage&ssid=1n1zda3yzk0000001692470837087&qH=6045590b3632ba18,Tokyo Talkies ,Casual Puff Sleeves Printed Women Multicolor Top,₹427₹94955% off,4237 ratings and 26 reviews,237 ratings and 26 reviews,"{'Neck': 'Sweetheart Neck', 'Sleeve Style': 'Puff Sleeves', 'Fit': 'Regular', 'Fabric': 'Polyester', 'Type': 'Crop Top', 'Pattern': 'Printed', 'Color': 'Multicolor', 'Pack of': '1', 'Length': 'Crop', 'Style Code': 'TTTP007565', 'Net Quantity': '1'}"
