URL,Brand,Name,Price,Rating,Reviews,Specifications
https://www.flipkart.com/kotty-party-solid-women-black-top/p/itm92ecd337e6543?pid=TOPGPX54MQFTWXYC&lid=LSTTOPGPX54MQFTWXYCEOFXMZ&marketplace=FLIPKART&q=crop+tops+for+women&store=clo%2Fash%2Fohw%2F36j&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=en_dBD1ZVCfV48I4v1eWoDPmPL8xIETp1zJxWzeNeocODVaDowflqP_5APl6DZJifyjbxF77TGGPFoCcBFj4jz_qA%3D%3D&ppt=hp&ppn=homepage&ssid=bp53r71u340000001691924097664&qH=bd7c26e08747c1c1,KOTTY ,Party Balloon Sleeve Solid Women Black Top,"₹299₹1,29976% off",4.254 ratings and 4 reviews,54 ratings and 4 reviews,"{'Neck': 'Sweetheart Neck', 'Sleeve Style': 'Balloon Sleeve', 'Fit': 'Slim', 'Fabric': 'Satin', 'Type': 'Crop Top', 'Belt Included': 'No', 'Pattern': 'Solid', 'Color': 'Black', 'Pack of': '1', 'Fabric Care': 'Gentle Machine Wash', 'Length': 'Crop', 'Style Code': 'KOTTYTOP263', 'Net Quantity': '1'}"
,,,,,,
https://www.flipkart.com/swaggish-casual-solid-women-brown-top/p/itmdf3de4a6a2722?pid=TOPGJUYMCJMHQYPT&lid=LSTTOPGJUYMCJMHQYPTJHMGEZ&marketplace=FLIPKART&q=crop+tops+for+women&store=clo%2Fash%2Fohw%2F36j&spotlightTagId=BestsellerId_clo%2Fash%2Fohw%2F36j&srno=s_1_3&otracker=search&otracker1=search&fm=Search&iid=04b50535-ea2a-45a9-968c-1bcac48aa174.TOPGJUYMCJMHQYPT.SEARCH&ppt=sp&ppn=sp&ssid=bp53r71u340000001691924097664&qH=bd7c26e08747c1c1,swaggish ,Casual Regular Sleeves Solid Women Brown Top,"₹183₹1,49987% off","42,384 ratings and 145 reviews","2,384 ratings and 145 reviews","{'Neck': 'Collared', 'Sleeve Style': 'Regular Sleeves', 'Sleeve Length': 'Full Sleeve', 'Fit': 'Slim', 'Fabric': 'Lycra Blend', 'Type': 'Crop Top', 'Belt Included': 'No', 'Pattern': 'Solid', 'Color': 'Brown', 'Pack of': '1', 'Fabric Care': 'Easy Wash', 'Length': 'Crop', 'Additional Details': 'Swaggish Full Sleeve Collar Top For Primum Quality Product . Collar Top Women and Gilr', 'Model Name': 'Swaggish Full Sleeve Collar Top For Primum Quality Product . Collar Top Women and Gilr', 'Style Code': 'Collar Top - 001', 'Net Quantity': '1'}"
https://www.flipkart.com/dream-beauty-fashion-casual-floral-print-women-pink-top/p/itm6d9ca0a6ee01d?pid=TOPGHKAMNGQKSBNU&lid=LSTTOPGHKAMNGQKSBNU5O2B1J&marketplace=FLIPKART&q=crop+tops+for+women&store=clo%2Fash%2Fohw%2F36j&spotlightTagId=FkPickId_clo%2Fash%2Fohw%2F36j&srno=s_1_4&otracker=search&otracker1=search&fm=Search&iid=04b50535-ea2a-45a9-968c-1bcac48aa174.TOPGHKAMNGQKSBNU.SEARCH&ppt=sp&ppn=sp&ssid=bp53r71u340000001691924097664&qH=bd7c26e08747c1c1,Dream Beauty Fashion ,Casual Puff Sleeves Floral Print Women Pink Top,₹198₹99980% off,4.1721 ratings and 60 reviews,721 ratings and 60 reviews,"{'Neck': 'Sweetheart Neck', 'Sleeve Style': 'Puff Sleeves', 'Sleeve Length': 'Full Sleeve', 'Fit': 'Slim', 'Fabric': 'Polyester', 'Type': 'Crop Top', 'Belt Included': 'No', 'Pattern': 'Floral Print', 'Color': 'Pink', 'Pack of': '1', 'Fabric Care': 'HandWash/MachineWash', 'Length': 'Crop', 'Style Code': 'Top-Pink Rose', 'Net Quantity': '1'}"
https://www.flipkart.com/swaggish-casual-solid-women-black-top/p/itm0fcf25dd5a1ef?pid=TOPGJUYMVXHHAK7F&lid=LSTTOPGJUYMVXHHAK7FKEOSWU&marketplace=FLIPKART&q=crop+tops+for+women&store=clo%2Fash%2Fohw%2F36j&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=04b50535-ea2a-45a9-968c-1bcac48aa174.TOPGJUYMVXHHAK7F.SEARCH&ppt=hp&ppn=homepage&ssid=bp53r71u340000001691924097664&qH=bd7c26e08747c1c1,swaggish ,Casual Regular Sleeves Solid Women Black Top,"₹190₹1,49987% off","42,384 ratings and 145 reviews","2,384 ratings and 145 reviews","{'Neck': 'Collared', 'Sleeve Style': 'Regular Sleeves', 'Sleeve Length': 'Full Sleeve', 'Fit': 'Slim', 'Fabric': 'Lycra Blend', 'Type': 'Crop Top', 'Belt Included': 'No', 'Pattern': 'Solid', 'Color': 'Black', 'Pack of': '1', 'Fabric Care': 'Easy Wash', 'Length': 'Crop', 'Additional Details': 'Swaggish Full Sleeve Collar Top For Primum Quality Product . Collar Top Women and Gilr', 'Model Name': 'Swaggish Full Sleeve Collar Top For Primum Quality Product . Collar Top Women and Gilr', 'Style Code': 'Collar Top - 001', 'Net Quantity': '1'}"
https://www.flipkart.com/sheetal-associates-casual-solid-women-red-top/p/itmf18986b3c0f61?pid=TOPGG3FZHRFTHRTB&lid=LSTTOPGG3FZHRFTHRTBHSCP3I&marketplace=FLIPKART&q=crop+tops+for+women&store=clo%2Fash%2Fohw%2F36j&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=04b50535-ea2a-45a9-968c-1bcac48aa174.TOPGG3FZHRFTHRTB.SEARCH&ppt=hp&ppn=homepage&ssid=bp53r71u340000001691924097664&qH=bd7c26e08747c1c1,Sheetal Associates ,Casual Regular Sleeves Solid Women Red Top,"₹265₹1,99986% off","4.16,801 ratings and 426 reviews","6,801 ratings and 426 reviews","{'Neck': 'Sweetheart Neck', 'Sleeve Style': 'Regular Sleeves', 'Sleeve Length': 'Full Sleeve', 'Fit': 'Slim', 'Fabric': 'Polyester', 'Type': 'Regular Top', 'Pattern': 'Solid', 'Color': 'Red', 'Pack of': '1', 'Fabric Care': 'HAND WASH', 'Length': 'Hip Length', 'Style Code': '4067', 'Net Quantity': '1'}"
https://www.flipkart.com/tokyo-talkies-casual-printed-women-black-top/p/itm59e521385cf8b?pid=TOPG983A5CRCWTG2&lid=LSTTOPG983A5CRCWTG2CFHDOG&marketplace=FLIPKART&q=crop+tops+for+women&store=clo%2Fash%2Fohw%2F36j&spotlightTagId=BestsellerId_clo%2Fash%2Fohw%2F36j&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=04b50535-ea2a-45a9-968c-1bcac48aa174.TOPG983A5CRCWTG2.SEARCH&ppt=hp&ppn=homepage&ssid=bp53r71u340000001691924097664&qH=bd7c26e08747c1c1,Tokyo Talkies ,Casual Regular Sleeves Printed Women Black Top,"₹469₹1,19960% off","42,782 ratings and 206 reviews","2,782 ratings and 206 reviews","{'Neck': 'Square Neck', 'Sleeve Style': 'Regular Sleeves', 'Fit': 'Regular', 'Fabric': 'Polyester', 'Type': 'Crop Top', 'Pattern': 'Printed', 'Color': 'Black', 'Pack of': '1', 'Style Code': 'TTTP005282', 'Net Quantity': '1'}"
,,,,,,
https://www.flipkart.com/dl-fashion-casual-short-sleeve-printed-women-green-top/p/itmb9dc9326a7010?pid=TOPG3GRJEQ2KRRRH&lid=LSTTOPG3GRJEQ2KRRRHFB0VIS&marketplace=FLIPKART&q=crop+tops+for+women&store=clo%2Fash%2Fohw%2F36j&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=04b50535-ea2a-45a9-968c-1bcac48aa174.TOPG3GRJEQ2KRRRH.SEARCH&ppt=hp&ppn=homepage&ssid=bp53r71u340000001691924097664&qH=bd7c26e08747c1c1,DL Fashion ,Casual Layered Printed Women Green Top,₹245₹99975% off,"412,281 ratings and 927 reviews","12,281 ratings and 927 reviews","{'Neck': 'Sweetheart Neck', 'Sleeve Style': 'Layered', 'Sleeve Length': 'Short Sleeve', 'Fit': 'Slim', 'Fabric': 'Viscose Rayon', 'Type': 'Crop Top', 'Belt Included': 'No', 'Pattern': 'Printed', 'Color': 'Green', 'Pack of': '1', 'Fabric Care': 'Hand Wash', 'Length': 'Hip Length', 'Model Name': 'SASHA', 'Style Code': '00128_TOP', 'Net Quantity': '1'}"
https://www.flipkart.com/sheetal-associates-casual-solid-women-black-top/p/itmd23805866cb0f?pid=TOPGD8VFB9DGDRDG&lid=LSTTOPGD8VFB9DGDRDGCBFMML&marketplace=FLIPKART&q=crop+tops+for+women&store=clo%2Fash%2Fohw%2F36j&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=04b50535-ea2a-45a9-968c-1bcac48aa174.TOPGD8VFB9DGDRDG.SEARCH&ppt=hp&ppn=homepage&ssid=bp53r71u340000001691924097664&qH=bd7c26e08747c1c1,Sheetal Associates ,Casual Regular Sleeves Solid Women Black Top,₹265₹99973% off,"4.16,801 ratings and 426 reviews","6,801 ratings and 426 reviews","{'Neck': 'Sweetheart Neck', 'Sleeve Style': 'Regular Sleeves', 'Sleeve Length': 'Full Sleeve', 'Fit': 'Slim', 'Fabric': 'Polyester', 'Type': 'Regular Top', 'Pattern': 'Solid', 'Color': 'Black', 'Pack of': '1', 'Fabric Care': 'HAND WASH', 'Length': 'Hip Length', 'Style Code': '4061', 'Net Quantity': '1'}"
