URL,Brand,Name,Price,Rating,Reviews,Specifications
,,,,,,
,,,,,,
https://www.flipkart.com/vastramay-men-dhoti-kurta-set/p/itm84068bf3ae19d?pid=ETHFVXHAQ4RXZ2TQ&lid=LSTETHFVXHAQ4RXZ2TQO6IHFI&marketplace=FLIPKART&q=mens+traditional+wear&store=clo%2Fcfv&srno=s_1_3&otracker=search&otracker1=search&fm=Search&iid=7b4b9b3a-5a4f-4d92-8676-04f1f8daea8e.ETHFVXHAQ4RXZ2TQ.SEARCH&ppt=sp&ppn=sp&ssid=kzb0yzlnrk0000001691922342874&qH=7a51c903f7b2e168,VASTRAMAY ,Men Silk Blend Dhoti & Kurta Set,"₹1,849₹3,79851% off",4.131 ratings and 1 reviews,31 ratings and 1 reviews,"{'Fabric': 'Silk Blend', 'Type': 'Dhoti & Kurta Set', 'Sales Package': 'Curved Shape Pathani Style Men Silk with slight Cotton mix for a soft comfortable feel, Mid Length Kurta With Buttoned Cuff paired with Cowl Style Patiala Dhoti Pant Set', 'Style Code': 'VASMUK001RGnCDMA', 'Secondary color': 'Gold', 'Top fabric': 'Silk Blend', 'Top type': 'Kurta', 'Bottom type': 'Dhoti', 'Pattern': 'Self Design', 'Color': 'Gold, Maroon', 'Neck': 'Mandarin Collar', 'Season': 'AW20', 'Fabric care': 'Dry Clean'}"
https://www.flipkart.com/white-zone-men-kurta-pyjama-set/p/itma0e1c3413a832?pid=ETHG2SFRTHZ8HVHX&lid=LSTETHG2SFRTHZ8HVHX61H5MY&marketplace=FLIPKART&q=mens+traditional+wear&store=clo%2Fcfv&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=7b4b9b3a-5a4f-4d92-8676-04f1f8daea8e.ETHG2SFRTHZ8HVHX.SEARCH&ppt=hp&ppn=homepage&ssid=kzb0yzlnrk0000001691922342874&qH=7a51c903f7b2e168,white-zone ,Men Satin Kurta and Pyjama Set,"₹1,399₹2,14934% off",4.2200 ratings and 28 reviews,200 ratings and 28 reviews,"{'Fabric': 'Satin', 'Type': 'Kurta and Pyjama Set', 'Sales Package': '1 Ethnic Set', 'Style Code': 'WZ_PATHANI', 'Secondary color': 'Dark Blue', 'Top fabric': 'Silk Blend', 'Bottom fabric': 'Satin', 'Top type': 'Kurta', 'Bottom type': 'Pyjama', 'Pattern': 'Solid', 'Color': 'Dark Blue', 'Neck': 'Collared Neck'}"
https://www.flipkart.com/sg-leman-men-kurta-pyjama-set/p/itm393a456b7cd6b?pid=ETHG7ACGM4T7GTAS&lid=LSTETHG7ACGM4T7GTASEJN2KU&marketplace=FLIPKART&q=mens+traditional+wear&store=clo%2Fcfv&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=7b4b9b3a-5a4f-4d92-8676-04f1f8daea8e.ETHG7ACGM4T7GTAS.SEARCH&ppt=hp&ppn=homepage&ssid=kzb0yzlnrk0000001691922342874&qH=7a51c903f7b2e168,SG LEMAN ,Men Pure Cotton Kurta and Pyjama Set,"₹749₹2,39968% off",3.8138 ratings and 12 reviews,138 ratings and 12 reviews,"{'Fabric': 'Pure Cotton', 'Type': 'Kurta and Pyjama Set', 'Sales Package': '1 Kurta, 1 Payjama', 'Style Code': 'SGR-31200-D.PEACH', 'Top fabric': 'Cotton Blend', 'Bottom fabric': 'Cotton', 'Top type': 'Kurta', 'Bottom type': 'Pyjama', 'Pattern': 'Solid', 'Color': 'Orange', 'Neck': 'Mandarin Collar', 'Season': 'EOSS-3-2022', 'Fabric care': 'Gentle Machine Wash'}"
https://www.flipkart.com/flossy-men-kurta-pyjama-set/p/itm14d7c65340668?pid=ETHGGSSK7AJJ3ZGN&lid=LSTETHGGSSK7AJJ3ZGN39BOG1&marketplace=FLIPKART&q=mens+traditional+wear&store=clo%2Fcfv&srno=s_1_6&otracker=search&otracker1=search&fm=Search&iid=7b4b9b3a-5a4f-4d92-8676-04f1f8daea8e.ETHGGSSK7AJJ3ZGN.SEARCH&ppt=sp&ppn=sp&ssid=kzb0yzlnrk0000001691922342874&qH=7a51c903f7b2e168,Flossy ,Men Cotton Blend Kurta and Pyjama Set,"₹399₹1,49973% off",3.935 ratings and 1 reviews,35 ratings and 1 reviews,"{'Fabric': 'Cotton Blend', 'Type': 'Kurta and Pyjama Set', 'Sales Package': '1 Kurat, 1 Pyjama', 'Style Code': 'GD 501 Green L', 'Top fabric': 'Cotton Blend', 'Bottom fabric': 'Cotton', 'Top type': 'Kurta', 'Bottom type': 'Pyjama', 'Pattern': 'Solid', 'Color': 'Yellow', 'Neck': 'Mandarin Collar'}"
,,,,,,
https://www.flipkart.com/volrix-men-kurta-churidar-set/p/itmc96f83dce08fc?pid=ETHG4MT3SV6KAYAS&lid=LSTETHG4MT3SV6KAYASW1AUPQ&marketplace=FLIPKART&q=mens+traditional+wear&store=clo%2Fcfv&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=en_Y-TiZRzKzvVFxvZYinshvjxE9KxjvMffYnodMO6uX5mgqJMGIlVQNkvoYCLTNuiI2zH4pO_fSiO8n9fidDulUg%3D%3D&ppt=hp&ppn=homepage&ssid=kzb0yzlnrk0000001691922342874&qH=7a51c903f7b2e168,VOLRIX ,Men Cotton Blend Kurta and Churidar Set,"₹408₹2,49983% off",4683 ratings and 77 reviews,683 ratings and 77 reviews,"{'Fabric': 'Cotton Blend', 'Type': 'Kurta and Churidar Set', 'Sales Package': '1 KURTA, 1 CHURIDAR PAJAMA', 'Style Code': '7_BUTTON_0', 'Secondary color': 'White', 'Lining material': 'cotton', 'Top fabric': 'Cotton', 'Bottom fabric': 'Cotton', 'Top type': 'Kurta', 'Bottom type': 'Churidar', 'Pattern': 'Solid', 'Color': 'Yellow', 'Neck': 'Mandarin Collar', 'Knit type': 'straight kurta', 'Fabric care': 'COTTON', 'Other Details': 'MENS KURTA PAJAMA'}"
,,,,,,
https://www.flipkart.com/white-zone-men-kurta-pyjama-set/p/itm714507a4e87cb?pid=ETHG4KAYVEUDQYMG&lid=LSTETHG4KAYVEUDQYMGC1B99O&marketplace=FLIPKART&q=mens+traditional+wear&store=clo%2Fcfv&srno=s_1_10&otracker=search&otracker1=search&fm=Search&iid=7b4b9b3a-5a4f-4d92-8676-04f1f8daea8e.ETHG4KAYVEUDQYMG.SEARCH&ppt=sp&ppn=sp&ssid=kzb0yzlnrk0000001691922342874&qH=7a51c903f7b2e168,white-zone ,Men Satin Kurta and Pyjama Set,"₹1,399₹2,14934% off",4.2200 ratings and 28 reviews,200 ratings and 28 reviews,"{'Fabric': 'Satin', 'Type': 'Kurta and Pyjama Set', 'Sales Package': '1', 'Style Code': 'WZ_PATHANI', 'Top fabric': 'Silk Blend', 'Bottom fabric': 'Satin', 'Top type': 'Kurta', 'Bottom type': 'Pyjama', 'Pattern': 'Solid', 'Color': 'Maroon', 'Neck': 'Collared Neck'}"
